Date,CORDILLERA ADMINISTRATIVE REGION (CAR),REGION I (ILOCOS REGION),REGION II (CAGAYAN VALLEY),REGION III (CENTRAL LUZON),REGION IV-A (CALABARZON),MIMAROPA REGION,REGION V (BICOL REGION),REGION VI (WESTERN VISAYAS),REGION VII (CENTRAL VISAYAS),REGION VIII (EASTERN VISAYAS),REGION IX (ZAMBOANGA PENINSULA),REGION X (NORTHERN MINDANAO),REGION XI (DAVAO REGION),REGION XII (SOCCSKSARGEN),REGION XIII (CARAGA),BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)
9/1/1995,10047.84594,28681.63389,86079.15698,28585.15602,16812.21604,29118.4475,38429.57621,160856.6548,12277.69008,24154.37135,44168.44857,35573.62025,22393.03111,93445.60765,18446.74079,50431.86065
10/1/1995,28232.95707,199627.1623,150639.3906,267596.5498,37058.65993,87639.42153,55448.14816,129448.0424,25489.88535,35195.9523,31642.22729,53949.55697,44069.63106,101714.2509,41551.18007,40427.51553
11/1/1995,37874.21628,291679.5903,186758.3689,390899.4903,47532.96102,120016.1292,64648.44734,122613.68,33520.89505,42138.4647,27246.63467,63962.65386,55888.24101,110084.1585,52597.71237,35956.89491
12/1/1995,27862.82665,213205.2474,165747.2405,296746.9599,39247.37905,95258.44926,59662.4045,134699.2776,32707.21959,46799.583,29834.13804,56960.78917,47290.12794,105787.5906,42448.10756,30401.58955
1/1/1996,8546.748832,77472.94515,118847.4327,115338.1938,21823.75874,49396.73478,48203.15862,172773.9191,31033.53733,55103.83035,38671.75129,43597.58266,29723.98534,101288.4323,21668.1291,23071.6087
2/1/1996,3753.586667,32348.63989,101594.5258,61736.60747,15983.57636,32050.13611,43807.41965,186999.3362,30241.80256,60094.92968,41758.06286,37487.27549,23118.74166,97000.44085,14859.05349,17913.09766
3/1/1996,7151.664501,26058.41496,112885.0415,87925.1987,21271.66491,34006.12911,46156.42173,141352.7447,23763.66011,50128.23998,33570.18585,36359.14185,26445.273,82111.12687,20993.81741,16306.29364
4/1/1996,21609.25378,23972.05608,147530.7947,192590.1952,37117.53357,46212.11669,51921.28001,52916.94874,13481.71406,33941.83622,17447.08398,36449.18383,35944.11885,53891.65851,39737.91018,12558.43351
5/1/1996,28569.60636,16344.16377,160944.8578,236788.7614,44507.69269,48725.61064,54435.70386,27678.46344,8429.133861,25518.66163,11818.968,35282.04293,39960.30936,41954.91074,48724.10428,11185.66875
6/1/1996,22102.13986,16297.78015,135982.3475,172859.0435,36091.77374,41653.27268,54036.01613,53555.58782,8479.152084,23608.50215,17674.94802,35109.77324,37609.57178,55431.43075,40303.98554,18129.89774
7/1/1996,8360.755716,7942.452394,86262.6242,40088.34264,17459.7522,23586.82992,50800.16939,146071.8087,8578.853001,20776.94155,33958.89179,34553.00907,32272.50809,88943.2307,23598.57738,33964.70337
8/1/1996,4902.230797,7919.783591,66866.70628,16560.82678,12150.43617,18762.95705,50421.61618,193658.2281,8629.162582,18947.89532,42410.00733,34382.63525,30120.8715,106338.1062,17366.49691,43371.15968
9/1/1996,9930.013488,40269.76402,84522.66952,57800.83058,21329.81162,34764.21303,55638.21443,170681.9632,13722.98442,24690.16312,40346.10088,36340.35568,31087.62041,101774.6631,21043.9257,42526.13695
10/1/1996,28422.46899,211315.609,128078.3753,276727.0126,49622.86868,81273.81051,66347.63822,118560.0413,23973.46819,34760.8828,34805.88257,40311.63695,33482.33282,89954.81552,32995.09377,40498.92402
